State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
West Bengal,Birbhum,Mayureswar II,sub_cen,DHEKA SC,NA,23.926135,87.823824,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Kalyanpur SC,NA,23.92645,87.942,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Fazilnagar South,NA,23.927283,88.491433,Y,Rural,Public
West Bengal,Birbhum,Suri I,sub_cen,Tilpara SC,NA,23.928233,87.525517,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Mathpalsa GP HQ SC,NA,23.928267,87.6453,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Pariharpur SC,NA,23.92855,87.67795,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Amtala RH SC,NA,23.929133,88.4539,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Hareknagar SC,NA,23.929983,88.257617,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Fazilnagar North,NA,23.9309,88.48885,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Rangaipur SC,NA,23.931067,87.633167,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,SATPALSA SC,NA,23.932133,87.785183,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Pipulberia GPHQ SC,NA,23.932683,88.675717,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Beldanga  BPHC SC,NA,23.93355,88.238917,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Jhowbona SC,NA,23.933667,88.3617,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Hareknagar Majhpara SC,NA,23.933783,88.257083,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Alampur SC,NA,23.93505,88.37905,Y,Rural,Public
West Bengal,Birbhum,Suri I,sub_cen,Bansjore SC,NA,23.935817,87.538867,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Barbakpur SC,NA,23.936,88.5524,Y,Rural,Public
West Bengal,Birbhum,Suri I,sub_cen,Pathra SC,NA,23.937283,87.473183,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Madhurpukur SC,NA,23.937417,88.26445,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Mahishbathan SC,NA,23.9379,88.6138,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Lowjore SC,NA,23.9379,87.361083,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Murutia MNP SC,NA,23.938267,88.647933,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Bundainagar SC,NA,23.93925,88.4093,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Rahamatpur SC,NA,23.939817,88.60205,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Mojhampur SC,NA,23.9413,88.21965,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Natidanga II GP HQ,NA,23.943367,88.53435,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Roypur SC,NA,23.943783,88.444517,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Rajnagar SC,NA,23.944017,87.323817,Y,Rural,Public
West Bengal,Murshidabad,Berhampore,sub_cen,Satui SC,NA,23.9445,88.19045,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Bahara  SC,NA,23.944533,88.019617,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Iswarpur SC,NA,23.945067,87.7158,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Darrermath SC,NA,23.945983,88.71345,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Ecomba SC,NA,23.946183,87.960783,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Thanarpara SC,NA,23.949217,88.546633,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Charmukterpur SC,NA,23.9497,88.519667,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Rajnagar SC,NA,23.95,88.4,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Gobindapur SC,NA,23.95,88.4,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Debkundu N SC,NA,23.9509,88.2553,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Raihat SC,NA,23.952583,87.64715,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Mirjapur SC,NA,23.953216,87.89223,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Jalalpur SC,NA,23.955117,88.204683,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Kumarpur SC,NA,23.955117,88.201333,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Madhupur GP Hq SC,NA,23.955317,88.466583,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Bajitpur SC,NA,23.955467,88.625767,Y,Rural,Public
